,Time,Cost
0,5,19676
1,5,20590
2,5,20489
3,5,20388
4,5,20287
5,5,20186
6,6,21302
7,6,21201
8,6,21100
9,6,20999
10,6,20898
11,6,20797
12,6,20696
13,8,19489
14,8,19388
15,8,19287
16,8,18989
17,8,18888
18,8,18787
19,8,18686
20,8,18388
21,8,18287
22,8,18186
23,8,18085
24,9,18499
25,9,18398
26,9,18297
27,9,18196
28,9,18095
29,9,17994
30,9,17893
31,9,17792
32,9,17999
33,9,17898
34,9,17797
35,9,17696
36,9,17595
37,9,17494
38,9,17393
39,9,17292
40,9,17191
41,9,17090
42,9,16989
43,9,16888
44,9,16787
45,9,16686
46,9,16585
47,9,16893
48,9,16792
49,9,16691
50,9,16590
51,9,16489
52,9,16388
53,9,16287
54,9,16186
55,9,16085
56,9,15984
57,9,15883
58,9,15782
59,9,15681
60,11,15580
61,11,15479
62,11,15378
63,11,15277
64,11,15176
65,14,15075
66,17,16191
67,17,16090
68,17,15989
69,17,15888
70,17,15787
71,18,15792
72,18,15691
73,18,15590
74,18,15489
75,18,15388
76,18,15287
77,18,15186
78,18,15085
79,18,14984
80,18,14883
81,18,14782
82,20,15797
83,20,15696
84,20,15595
85,21,15494
86,22,15191
87,22,15090
88,22,14989
89,22,14888
90,25,14787
91,25,14686
92,25,14585
93,25,14484
94,25,14383
95,26,14994
96,26,14893
97,26,14792
98,26,14691
99,26,14590
100,26,14489
101,26,14388
102,26,14287
103,26,14186
104,26,14393
105,26,14292
106,26,14191
107,27,15307
108,27,15206
109,27,15105
110,27,15004
111,27,14903
112,27,14802
113,27,14701
114,27,14600
115,27,14499
116,27,14398
117,27,14297
118,27,14196
119,28,14095
120,28,13994
121,28,13893
122,31,13590
123,31,13489
124,31,13388
125,31,13287
126,31,13186
127,31,13085
128,32,13595
129,32,13494
130,32,13393
131,32,13292
132,32,13191
133,32,13090
134,36,12787
135,36,12686
136,36,12585
137,36,12484
138,36,12383
139,36,12282
140,36,12181
141,36,12080
142,36,11979
143,36,11878
144,39,12691
145,39,12590
146,39,12489
147,39,12388
148,39,12287
149,39,12186
150,39,12085
151,39,11984
152,39,11883
153,39,11782
154,39,11681
155,40,11580
156,43,11479
157,46,11378
158,46,11277
159,46,11176
160,46,11787
161,47,11686
162,47,11585
163,47,11484
164,47,11383
165,47,11282
166,52,11181
167,52,11080
168,69,11590
169,69,11489
170,69,11388
171,69,11287
172,69,11186
173,69,11085
174,69,10984
175,69,10883
176,72,10782
177,72,10681
178,72,10580
179,72,10479
180,72,10378
181,79,10277
182,79,10176
183,82,10989
184,82,10888
185,82,10787
186,85,10686
187,85,10585
188,85,10484
189,85,10489
190,85,10388
191,85,10287
192,85,10186
193,85,10085
194,85,9984
195,85,9883
196,85,9782
197,85,9681
198,85,9580
199,85,9479
200,85,9378
201,85,9277
202,85,9176
203,85,9075
204,85,8974
205,94,8873
206,108,9787
207,108,9686
208,109,9585
209,109,9484
210,109,9383
211,111,9282
212,111,9181
213,111,9080
214,111,8979
215,115,8878
216,115,8777
217,115,8676
218,120,8575
219,138,8474
220,138,8373
221,138,8272
222,140,8171
223,219,8171
224,219,8070
225,265,9186
226,265,9085
227,265,8984
228,265,8883
229,265,8782
230,265,8681
231,268,8580
232,268,8479
233,268,8378
234,268,8277
235,271,8176
236,276,9191
237,276,9090
238,277,8181
239,277,8080
240,277,7979
241,277,7878
242,277,7777
243,277,7676
244,277,7575
245,277,7474
246,277,7373
247,287,7272
248,287,7171
249,287,7070
250,312,6969
251,312,6868
252,321,6767
253,321,6666
