,Time,Cost
0,8,20585
1,8,20484
2,8,20383
3,8,20282
4,8,20181
5,8,20085
6,8,19984
7,8,19883
8,8,19782
9,8,19681
10,8,19585
11,8,19484
12,8,19383
13,9,19282
14,9,19181
15,9,19085
16,9,18984
17,9,18883
18,9,18782
19,9,18681
20,9,18787
21,9,18686
22,9,18585
23,9,18484
24,9,18383
25,9,18282
26,9,18181
27,9,18186
28,9,18085
29,9,17984
30,9,17883
31,9,17782
32,9,17681
33,10,18696
34,10,18196
35,10,18095
36,12,18908
37,12,18807
38,12,18706
39,12,18605
40,12,18504
41,12,18403
42,12,18302
43,12,18201
44,12,18100
45,13,17999
46,13,17898
47,13,17797
48,14,18307
49,14,18206
50,14,18105
51,15,17807
52,15,17706
53,15,17605
54,16,17504
55,16,17403
56,16,17302
57,16,17201
58,16,17100
59,17,17711
60,18,17610
61,19,17509
62,19,17408
63,19,17307
64,22,17206
65,22,17105
66,24,17004
67,24,16903
68,24,16802
69,24,16701
70,24,16600
71,24,16499
72,26,16398
73,27,17312
74,27,17211
75,27,17110
76,27,17009
77,27,16908
78,27,16807
79,27,16706
80,27,16605
81,27,16504
82,27,16403
83,28,16302
84,28,16201
85,30,16100
86,31,15999
87,31,15898
88,34,15797
89,37,15696
90,37,15595
91,41,15494
92,41,15393
93,41,15292
94,41,15191
95,41,15090
96,41,14989
97,41,14888
98,44,14787
99,44,14686
100,49,15499
101,49,15398
102,49,15297
103,49,15196
104,49,15095
105,49,14994
106,49,14893
107,49,14792
108,53,15807
109,53,15706
110,53,15605
111,53,15504
112,53,15403
113,53,15302
114,54,16014
115,54,15913
116,54,15812
117,54,15711
118,54,15610
119,56,15509
120,56,15408
121,56,15307
122,56,15206
123,56,15105
124,57,15004
125,57,14903
126,57,14802
127,57,14701
128,57,14600
129,58,14499
130,58,14398
131,58,14297
132,64,14095
133,64,13994
134,66,13893
135,68,15110
136,69,15009
137,69,14908
138,69,14807
139,69,14706
140,69,14605
141,69,14504
142,70,14403
143,70,14302
144,70,14201
145,70,14100
146,70,13999
147,70,13898
148,70,13797
149,70,13696
150,70,13595
151,70,13494
152,70,13393
153,70,13292
154,70,13191
155,84,13090
156,90,14004
157,90,13903
158,90,13802
159,91,13701
160,91,13600
161,92,13499
162,92,13398
163,92,13297
164,93,13196
165,94,13095
166,94,12994
167,94,12893
168,94,12792
169,94,12691
170,94,12590
171,95,12489
172,95,12388
173,95,12287
174,95,12186
175,95,12085
176,95,11984
177,105,12898
178,110,12595
179,110,12494
180,110,12393
181,111,12903
182,111,12802
183,112,12701
184,112,12600
185,112,12499
186,112,12398
187,112,12297
188,112,12196
189,114,12095
190,114,11994
191,117,11893
192,117,11792
193,117,11691
194,118,11590
195,119,11489
196,121,11388
197,121,11287
198,121,11186
199,125,11085
200,125,10984
201,126,10883
202,128,12504
203,128,12403
204,128,12302
205,128,12201
206,132,12812
207,132,12711
208,132,12610
209,132,12509
210,132,12408
211,133,12307
212,134,12206
213,134,12105
214,134,12004
215,134,11903
216,134,11802
217,134,11701
218,134,11600
219,134,11499
220,134,11398
221,134,11297
222,134,11196
223,134,11095
224,134,10994
225,134,10893
226,134,10792
227,134,10691
228,134,10590
229,134,10489
230,134,10388
231,134,10287
232,134,10186
233,134,10085
234,136,9984
235,147,9883
236,148,9782
237,148,9681
238,148,10696
239,150,10595
240,150,10494
241,153,10393
242,155,10292
243,159,10191
244,166,10090
245,166,9989
246,167,9888
247,167,9787
248,168,9686
249,168,9585
250,187,9484
251,188,10802
252,188,10701
253,188,10600
254,188,10499
255,188,10398
256,188,10297
257,189,10196
258,191,10095
259,191,9994
260,191,9893
261,192,9792
262,192,9691
263,192,9590
264,196,9489
265,196,9388
266,196,9287
267,196,10504
268,196,10403
269,196,10302
270,197,10201
271,197,10100
272,197,9999
273,197,9898
274,197,9797
275,197,9696
276,197,9595
277,197,9494
278,197,9393
279,197,9292
280,197,9191
281,199,9090
282,199,8787
283,199,8686
284,199,8585
285,200,8484
286,200,8383
287,211,8282
288,243,8181
289,243,8080
290,244,7979
291,253,7878
292,253,7777
293,253,7676
294,253,7575
295,255,7474
296,255,7373
297,351,7373
298,475,7373
