,Time,Cost
0,6,20580
1,6,20479
2,6,20378
3,6,20277
4,7,19797
5,7,19696
6,9,19292
7,9,18792
8,9,18691
9,10,19605
10,10,19504
11,10,19403
12,11,17393
13,12,17292
14,12,17191
15,12,17090
16,12,16989
17,12,16888
18,15,17196
19,15,17095
20,15,15994
21,15,15595
22,16,15494
23,18,15903
24,18,15802
25,18,15701
26,18,15600
27,18,15499
28,18,15398
29,18,15297
30,18,15196
31,18,15095
32,18,14994
33,18,14893
34,20,14792
35,21,14696
36,21,14595
37,21,14494
38,21,14393
39,21,14292
40,21,14191
41,21,14090
42,21,13989
43,21,13888
44,22,14600
45,22,14499
46,22,14398
47,22,14297
48,22,14196
49,22,14095
50,22,13994
51,23,13893
52,23,13792
53,23,13691
54,23,13590
55,23,13898
56,23,13797
57,23,13696
58,27,13595
59,27,13494
60,29,13393
61,29,13292
62,29,13191
63,29,13090
64,31,12989
65,31,12888
66,31,12787
67,31,12686
68,31,12585
69,32,13600
70,32,13499
71,32,13398
72,32,13297
73,32,13196
74,33,13095
75,33,12994
76,33,12893
77,33,12792
78,33,12691
79,33,12590
80,33,12489
81,33,12388
82,33,12287
83,33,12186
84,33,12085
85,35,11984
86,37,11883
87,39,11782
88,39,11681
89,39,11580
90,39,11479
91,42,12595
92,43,12494
93,43,12393
94,46,12191
95,46,12090
96,46,11989
97,46,11888
98,47,11787
99,47,11686
100,47,11585
101,48,12095
102,48,11994
103,48,11893
104,49,11691
105,49,11590
106,49,11489
107,55,11388
108,55,11287
109,55,11186
110,57,11085
111,59,10984
112,59,10883
113,59,10782
114,63,10681
115,63,10580
116,63,10479
117,64,11090
118,64,10989
119,64,10888
120,65,10787
121,65,10686
122,66,10585
123,66,10484
124,66,10383
125,66,10282
126,67,10181
127,69,11398
128,69,11297
129,69,11196
130,70,10994
131,70,10893
132,70,10792
133,71,10691
134,71,10590
135,71,10489
136,72,10388
137,73,10287
138,73,10898
139,73,10797
140,73,10696
141,74,10292
142,74,10191
143,74,10090
144,74,9989
145,75,9888
146,75,9787
147,75,9686
148,75,9585
149,76,9484
150,76,9383
151,83,10095
152,84,9994
153,85,9893
154,85,9792
155,85,9691
156,85,9590
157,86,9489
158,86,9388
159,86,9287
160,86,9186
161,86,9085
162,86,8984
163,86,9393
164,86,9292
165,86,9191
166,86,9090
167,86,8989
168,87,8888
169,87,8787
170,87,8686
171,87,8585
172,87,8484
173,87,8383
174,87,8282
175,88,8181
176,88,8080
177,88,7979
178,88,7878
179,91,7777
180,94,7676
181,94,7575
182,94,7474
183,137,7373
184,151,7272
185,169,7171
186,169,7070
187,169,6969
188,223,6868
189,223,6767
