,Time,Cost
0,8,24883
1,8,24782
2,8,24681
3,8,24580
4,8,24479
5,8,24378
6,8,24277
7,8,24176
8,10,23095
9,10,22994
10,10,22893
11,12,22792
12,12,19797
13,12,19696
14,12,19595
15,15,19494
16,15,19393
17,15,19292
18,15,19191
19,15,19090
20,15,18989
21,15,18888
22,15,18787
23,15,18686
24,15,18585
25,15,18484
26,15,18383
27,16,19499
28,16,19398
29,16,19297
30,16,19196
31,16,19095
32,17,18287
33,17,18186
34,17,18085
35,17,17984
36,17,17883
37,17,17782
38,17,17681
39,18,17580
40,20,17479
41,25,19201
42,25,19100
43,25,18999
44,25,18898
45,25,18797
46,25,18696
47,28,18595
48,28,18494
49,28,18393
50,28,18292
51,29,18191
52,29,18090
53,29,17989
54,29,17888
55,29,17787
56,29,17686
57,29,18499
58,29,18398
59,29,18297
60,29,18196
61,30,17590
62,30,17489
63,30,17388
64,30,17287
65,30,17186
66,32,17085
67,32,16984
68,32,16883
69,32,16782
70,32,16681
71,32,16580
72,32,16479
73,32,16378
74,32,16277
75,32,16176
76,33,16075
77,34,16888
78,34,16787
79,34,16686
80,34,16585
81,34,16484
82,34,16383
83,34,16282
84,34,16181
85,35,16191
86,35,16090
87,41,15888
88,41,15787
89,41,15686
90,41,15585
91,41,15484
92,41,15383
93,41,15282
94,41,15181
95,41,15080
96,41,14979
97,44,14878
98,47,15590
99,48,15287
100,48,15186
101,48,15085
102,48,14984
103,48,14883
104,51,14580
105,51,14479
106,51,14378
107,51,14277
108,51,14176
109,51,14075
110,51,13974
111,51,13873
112,51,13772
113,51,13671
114,51,13570
115,57,13469
116,62,14787
117,62,14686
118,62,14585
119,62,14484
120,62,14383
121,62,14282
122,62,14181
123,62,14080
124,62,13979
125,63,14994
126,64,14893
127,64,14792
128,64,14691
129,64,14590
130,64,14489
131,64,14388
132,64,14287
133,64,14186
134,64,14085
135,64,13984
136,64,13883
137,64,13782
138,64,13681
139,67,13580
140,67,13479
141,67,14393
142,67,14292
143,67,14191
144,67,14090
145,67,13989
146,67,13888
147,67,13787
148,67,13686
149,67,13585
150,67,13484
151,67,13383
152,67,13282
153,69,13181
154,69,13080
155,70,12979
156,70,12878
157,70,12777
158,70,12676
159,70,12575
160,70,12474
161,84,13590
162,84,13489
163,84,13388
164,86,13186
165,86,13085
166,86,12984
167,86,12883
168,86,12782
169,86,12681
170,86,12580
171,87,12479
172,87,12378
173,88,12277
174,88,12176
175,88,12075
176,88,11974
177,88,11873
178,88,11772
179,101,12989
180,101,12888
181,103,12484
182,103,12383
183,104,12282
184,105,12181
185,105,12080
186,105,11979
187,106,11878
188,110,11777
189,110,11676
190,110,11575
191,113,11474
192,113,11373
193,133,11272
194,133,11171
195,134,11070
196,134,10969
197,134,10868
198,139,12186
199,141,12085
200,141,11984
201,143,11883
202,143,11686
203,145,11585
204,145,11484
205,145,11383
206,145,11282
207,145,11181
208,145,11080
209,145,10979
210,145,10878
211,145,10777
212,145,10676
213,149,10575
214,149,10474
215,154,10373
216,167,10272
217,172,10681
218,172,10580
219,172,10479
220,172,10378
221,172,10277
222,173,10176
223,174,10075
224,177,9974
225,177,9873
226,177,9772
227,177,9671
228,177,9570
229,177,9469
230,177,9368
231,194,9267
232,198,9166
233,198,9065
234,199,8964
235,216,10080
236,216,9979
237,216,9878
238,217,9777
239,217,9676
240,218,9575
241,221,9474
242,221,9373
243,234,9272
244,234,9171
245,236,9070
246,237,8969
247,254,9984
248,254,9883
249,254,9782
250,254,9681
251,254,9580
252,254,9479
253,256,9378
254,256,9277
255,256,9176
256,256,9075
257,294,8974
258,294,8873
259,295,8772
260,295,8671
261,295,8570
262,299,9989
263,299,9888
264,299,9787
265,299,9686
266,299,9585
267,299,9484
268,299,9383
269,300,9282
270,300,9181
271,300,9080
272,302,8979
273,302,8878
274,303,8777
275,303,8676
276,303,8575
277,312,8474
278,312,8373
279,312,8272
280,312,8171
281,315,8070
282,339,7969
283,339,7868
284,391,7767
285,393,8681
286,394,8580
287,394,8479
288,394,8378
289,394,8277
290,394,8176
291,395,8075
292,395,7974
293,399,7873
294,399,7772
295,408,7671
296,408,7570
297,408,7469
298,412,7368
299,414,7267
300,491,8181
301,491,8080
302,492,7979
303,492,7878
304,492,7777
305,493,7676
306,499,7575
307,499,7474
308,499,7373
309,499,7272
310,499,7171
311,503,7070
312,503,6969
313,507,6868
314,507,6767
315,575,6767
316,575,6666
317,576,6565
318,576,6464
319,705,6464
