,Time,Cost
0,5,25474
1,5,25373
2,6,26388
3,6,26287
4,6,26186
5,8,25782
6,8,25681
7,8,25580
8,8,25479
9,8,25378
10,8,25888
11,8,25787
12,8,25686
13,8,25585
14,9,25484
15,9,25383
16,9,25282
17,9,25181
18,9,25080
19,10,24979
20,10,24878
21,10,25287
22,10,25186
23,10,24787
24,10,24686
25,10,24585
26,10,24484
27,10,24383
28,10,24388
29,10,24287
30,10,24186
31,11,24393
32,11,24292
33,11,24191
34,13,25105
35,13,25004
36,13,24903
37,13,24802
38,13,24701
39,13,24600
40,13,24499
41,14,24398
42,15,24297
43,15,24196
44,15,23797
45,15,23696
46,15,23595
47,15,23494
48,15,23393
49,15,23292
50,15,23095
51,15,22994
52,15,22893
53,15,22792
54,15,22691
55,15,22590
56,15,22489
57,15,22388
58,15,21888
59,15,21787
60,15,21686
61,15,21585
62,16,21484
63,17,22499
64,17,22398
65,17,22297
66,17,22196
67,17,22095
68,17,21994
69,17,21893
70,17,21792
71,17,21691
72,18,21999
73,18,21898
74,18,21797
75,18,21696
76,18,21595
77,18,21494
78,18,21393
79,18,21292
80,18,21191
81,19,21090
82,19,20792
83,19,20691
84,19,20590
85,19,20489
86,19,20191
87,19,20090
88,19,19989
89,19,19888
90,19,19787
91,19,19686
92,19,19893
93,19,19792
94,19,19691
95,19,19590
96,19,19489
97,19,19388
98,19,19287
99,19,19186
100,19,19085
101,19,18984
102,19,18888
103,19,18787
104,19,18686
105,19,18585
106,19,18484
107,19,18383
108,19,18282
109,19,18181
110,19,18080
111,19,17979
112,19,17878
113,19,17777
114,19,17676
115,19,17575
116,21,18085
117,21,17984
118,21,17883
119,21,17585
120,21,17484
121,21,17383
122,21,16984
123,21,16787
124,21,16686
125,21,16585
126,21,15883
127,21,15782
128,23,15681
129,23,15580
130,26,16494
131,26,16393
132,26,16292
133,26,16191
134,26,16090
135,26,15989
136,28,15888
137,35,15787
138,35,15686
139,35,15585
140,35,15484
141,35,15383
142,35,15282
143,35,15181
144,37,15792
145,37,15691
146,37,15590
147,37,15489
148,37,15388
149,37,15287
150,37,15186
151,38,15085
152,39,14984
153,39,14883
154,39,14782
155,39,14681
156,39,14580
157,40,14479
158,40,14378
159,44,14277
160,46,15191
161,46,15090
162,46,14989
163,46,14888
164,46,14787
165,46,14686
166,46,14585
167,46,14484
168,46,14383
169,46,14186
170,46,14085
171,46,13984
172,46,13883
173,46,13782
174,46,13681
175,46,13580
176,46,13479
177,46,13282
178,46,13181
179,46,13080
180,46,12979
181,46,13186
182,46,13085
183,46,12984
184,46,12883
185,46,12782
186,46,12681
187,46,12580
188,46,12479
189,46,12378
190,46,12277
191,47,12176
192,47,12989
193,47,12888
194,47,12787
195,47,12686
196,47,12585
197,47,12484
198,47,12383
199,48,12282
200,49,11878
201,49,11777
202,49,11676
203,49,11575
204,51,11474
205,51,11373
206,52,11272
207,52,11171
208,54,11070
209,56,10969
210,56,10070
211,56,9969
212,67,10782
213,67,10681
214,67,10580
215,67,10479
216,67,10378
217,69,10277
218,69,10176
219,69,10075
220,69,9974
221,71,9873
222,71,9772
223,71,9671
224,71,9570
225,71,9469
226,71,9368
227,71,9267
228,71,9166
229,71,9065
230,73,10181
231,77,10080
232,78,9979
233,78,9878
234,78,9777
235,79,9676
236,80,9575
237,80,9474
238,81,10893
239,81,10792
240,81,10691
241,81,10590
242,81,10489
243,81,10388
244,81,10287
245,81,10186
246,81,10085
247,81,9984
248,83,9883
249,84,9782
250,84,9681
251,84,9580
252,84,9479
253,84,9378
254,84,9277
255,84,9176
256,85,9075
257,86,8974
258,86,8873
259,91,8772
260,91,8671
261,94,8570
262,95,9585
263,95,9484
264,95,9383
265,95,9282
266,95,9181
267,95,9080
268,95,8979
269,95,8878
270,95,8777
271,96,8676
272,96,8575
273,96,8474
274,96,8373
275,96,8272
276,98,8171
277,106,8070
278,106,7969
279,113,8782
280,115,8681
281,115,8479
282,115,8378
283,115,8277
284,115,8176
285,115,8075
286,116,7974
287,116,7873
288,116,7772
289,171,7671
290,171,7570
291,171,7469
292,172,7368
293,172,7267
294,172,7166
295,172,7065
296,183,6964
297,205,8080
298,207,7979
299,207,7878
300,207,7777
301,207,7676
302,208,7575
303,208,7474
304,208,7373
305,209,7272
306,210,7171
307,210,7070
308,210,6969
309,216,6868
310,216,6767
311,269,6666
312,270,6565
313,272,6464
314,471,6464
315,499,6363
