,Time,Cost
0,6,24676
1,6,24575
2,6,24474
3,6,24373
4,6,25994
5,9,25590
6,9,25489
7,9,25388
8,9,25287
9,9,25186
10,9,25085
11,9,26201
12,9,26100
13,9,25999
14,9,25898
15,10,25802
16,10,25701
17,11,25600
18,11,25499
19,11,25398
20,11,25297
21,11,25196
22,11,25095
23,11,24994
24,11,24893
25,11,24792
26,11,24691
27,11,24590
28,11,24489
29,11,24388
30,11,24287
31,11,24186
32,11,24085
33,11,23984
34,13,25610
35,13,25509
36,13,25408
37,13,25307
38,14,25206
39,14,25312
40,14,25211
41,14,25110
42,14,25009
43,15,25822
44,15,25721
45,15,25620
46,15,25519
47,15,25418
48,15,25317
49,15,25216
50,15,25115
51,15,25014
52,15,24913
53,15,24812
54,15,24514
55,15,24413
56,15,24312
57,15,23913
58,15,23812
59,16,23711
60,16,23610
61,16,23509
62,16,23408
63,16,23307
64,16,23206
65,16,22807
66,16,22706
67,16,22605
68,16,22504
69,16,22403
70,16,22004
71,16,21903
72,16,21802
73,16,21701
74,16,21600
75,16,21499
76,16,21398
77,16,21297
78,16,21196
79,16,21095
80,16,20994
81,16,20893
82,16,20595
83,16,20494
84,16,20393
85,16,20292
86,16,20191
87,16,20090
88,16,19989
89,16,19888
90,16,19787
91,16,19686
92,16,19585
93,16,19484
94,16,19383
95,16,19282
96,17,19181
97,17,19080
98,17,18979
99,17,20297
100,17,20196
101,18,20403
102,18,20302
103,18,19802
104,18,19701
105,18,19600
106,18,19302
107,18,19201
108,19,18999
109,19,18898
110,19,18797
111,19,18696
112,19,18595
113,20,18292
114,20,18191
115,20,18090
116,21,19509
117,21,19408
118,21,19307
119,21,19206
120,21,19413
121,21,19312
122,21,19211
123,21,19110
124,21,19009
125,22,18908
126,22,18807
127,22,18706
128,22,18605
129,22,18504
130,22,18403
131,22,18302
132,23,18201
133,23,18100
134,23,17999
135,23,17898
136,23,17797
137,23,17696
138,23,17595
139,23,17494
140,23,17393
141,23,17292
142,23,17191
143,23,17090
144,24,16989
145,26,16888
146,26,16787
147,26,16686
148,26,16585
149,26,16484
150,26,16383
151,26,16282
152,26,16181
153,26,16080
154,31,15979
155,31,15878
156,31,16691
157,31,16590
158,31,16489
159,31,16388
160,31,16287
161,34,16186
162,34,16085
163,34,15984
164,34,15883
165,34,15782
166,36,15681
167,37,16090
168,37,15989
169,37,15888
170,37,15787
171,37,15686
172,38,15585
173,38,15484
174,38,15383
175,38,15282
176,38,15181
177,38,15080
178,38,14979
179,38,14878
180,38,14777
181,38,14676
182,39,15893
183,39,15792
184,39,15691
185,39,15590
186,39,15489
187,39,15388
188,39,15287
189,39,15186
190,39,15085
191,39,14984
192,39,14883
193,39,14782
194,39,14681
195,39,14580
196,39,14479
197,40,14378
198,41,14787
199,42,14686
200,42,14585
201,42,14484
202,42,14383
203,42,14282
204,43,14181
205,43,14080
206,43,13979
207,45,15600
208,45,15499
209,46,14792
210,46,14691
211,46,14590
212,46,14489
213,46,14388
214,47,14287
215,47,14186
216,47,14085
217,47,13984
218,47,13883
219,47,13782
220,47,13681
221,47,13580
222,47,13479
223,47,13378
224,48,13277
225,56,14393
226,57,14292
227,57,14191
228,58,14090
229,58,13989
230,60,13888
231,60,13787
232,62,13686
233,62,13585
234,63,13484
235,63,13383
236,66,13080
237,66,12979
238,66,12878
239,66,12777
240,66,12676
241,66,12575
242,74,14802
243,74,14701
244,74,14600
245,74,14499
246,74,14398
247,74,14297
248,74,14196
249,74,14095
250,74,13994
251,74,13893
252,74,13792
253,74,13691
254,75,13590
255,77,13489
256,77,13388
257,78,13287
258,78,13186
259,78,13085
260,78,12984
261,78,12883
262,78,12782
263,78,12681
264,78,12580
265,78,12479
266,78,12378
267,79,12277
268,91,12176
269,94,13494
270,94,13393
271,94,13292
272,95,13191
273,96,13090
274,96,12989
275,96,12888
276,96,12787
277,96,12686
278,98,12585
279,98,12484
280,99,12383
281,99,12282
282,101,12181
283,103,12080
284,103,11979
285,103,11878
286,105,12590
287,105,12489
288,105,12388
289,105,12287
290,105,12186
291,107,12191
292,107,12090
293,107,11989
294,107,11888
295,107,11787
296,107,11686
297,107,11585
298,107,11484
299,107,11383
300,107,11282
301,107,11181
