,Time,Cost
0,7,26671
1,7,26171
2,7,25671
3,7,25171
4,7,25070
5,7,24671
6,7,24171
7,7,24070
8,7,23671
9,7,23469
10,7,23171
11,7,23070
12,7,22969
13,8,23782
14,8,23681
15,8,23686
16,8,23585
17,8,23484
18,8,23383
19,8,23282
20,9,23181
21,9,23080
22,9,22979
23,9,22878
24,9,22777
25,9,22676
26,9,22575
27,9,22474
28,10,23590
29,10,23489
30,10,23388
31,10,23287
32,10,23186
33,10,23085
34,10,22888
35,10,22787
36,10,22686
37,10,22585
38,10,22484
39,10,22383
40,10,22282
41,10,22085
42,10,21984
43,10,21883
44,12,21782
45,12,21681
46,12,21580
47,14,21479
48,17,22191
49,17,22090
50,17,21989
51,17,21888
52,17,21787
53,18,21686
54,19,21181
55,19,21080
56,19,20979
57,19,20878
58,19,20777
59,19,20676
60,19,20575
61,19,20474
62,19,20373
63,19,20272
64,19,20171
65,20,20984
66,21,20686
67,21,20585
68,21,20484
69,21,20186
70,21,20085
71,21,19984
72,21,19883
73,21,19686
74,21,19585
75,21,19484
76,21,19383
77,21,19282
78,21,19181
79,22,19080
80,23,19388
81,23,19287
82,23,19186
83,23,19085
84,25,18984
85,25,18883
86,25,18782
87,25,18681
88,25,18580
89,25,18479
90,26,18378
91,26,18277
92,26,18176
93,26,18075
94,26,17974
95,26,17873
96,26,17772
97,26,17671
98,27,19191
99,27,19090
100,27,18989
101,27,18888
102,27,18787
103,28,18686
104,28,18585
105,28,18484
106,28,18383
107,28,18282
108,29,18181
109,29,18080
110,29,17979
111,29,17878
112,29,17777
113,31,18994
114,31,18893
115,32,18590
116,32,18489
117,32,18388
118,32,18287
119,32,18186
120,32,18085
121,32,17984
122,32,17883
123,32,17782
124,32,17681
125,32,17580
126,33,17479
127,34,17378
128,38,16974
129,38,16873
130,38,16772
131,38,16671
132,38,16570
133,39,17989
134,39,17888
135,39,17787
136,40,17686
137,40,17585
138,40,17484
139,40,17383
140,40,17282
141,40,17181
142,40,17080
143,40,16979
144,41,16878
145,41,16777
146,41,16676
147,41,16575
148,42,17186
149,42,17085
150,42,16984
151,42,16883
152,42,16782
153,42,16681
154,42,16580
155,42,16479
156,42,17797
157,42,17696
158,42,17595
159,42,17494
160,42,17393
161,42,17292
162,42,17191
163,42,17090
164,42,16989
165,43,16888
166,43,16787
167,43,16686
168,43,16585
169,43,16484
170,43,16383
171,43,16282
172,43,16181
173,43,16080
174,43,15979
175,44,15878
176,45,15777
177,45,15676
178,45,15575
179,45,15474
180,45,15373
181,45,15272
182,55,15883
183,55,15585
184,55,15484
185,55,15383
186,55,15282
187,55,15181
188,57,15080
189,57,14979
190,57,14878
191,57,14777
192,57,14676
193,57,14575
194,58,15388
195,58,15287
196,58,15186
197,58,15085
198,58,14984
199,58,14883
200,58,14782
201,59,14681
202,59,14277
203,59,14176
204,59,14075
205,59,13974
206,63,13873
207,73,13772
208,79,15090
209,79,14989
210,82,14484
211,82,14383
212,82,14282
213,82,14181
214,82,14080
215,82,13979
216,82,13878
217,82,13777
218,82,13676
219,82,14792
220,83,14691
221,83,14590
222,83,14489
223,83,14388
224,83,14287
225,83,14186
226,83,14085
227,83,13984
228,83,14292
229,83,14191
230,83,14090
231,84,13989
232,84,13888
233,84,13787
234,84,13686
235,84,13585
236,84,13484
237,84,13383
238,84,13282
239,84,13181
240,84,13080
241,84,12979
242,84,12878
243,87,12777
244,87,12676
245,87,12575
246,87,12474
247,87,12373
248,87,12272
249,87,12171
250,87,12070
251,87,11969
252,103,11868
253,113,13489
254,114,13085
255,115,12378
256,115,12277
257,115,12176
258,115,12075
259,115,11974
260,115,11873
261,115,11772
262,119,11979
263,119,11878
264,119,11777
265,119,11676
266,121,11575
267,121,11474
268,121,11373
269,137,11272
270,137,11171
271,137,11070
272,138,10969
273,138,10868
274,193,10767
275,210,11782
276,210,11681
277,210,11580
278,210,11479
279,210,11378
280,210,11277
281,211,11176
282,212,11075
283,212,10974
284,215,11484
285,215,11383
286,215,11282
287,215,11181
288,215,11080
289,217,10979
290,217,10878
291,217,10777
292,217,10676
293,217,10575
294,217,10474
295,217,10373
296,217,10272
297,218,10171
298,218,10070
299,223,9969
300,244,9868
301,244,9767
302,244,9666
303,255,10883
304,255,10782
305,255,10681
306,255,10580
307,255,10479
308,258,10378
309,258,10277
310,259,10176
311,259,10075
312,259,9974
313,262,9873
314,265,9772
315,295,9671
316,312,9570
317,313,9469
318,313,9368
319,313,9267
320,313,9166
321,313,9065
322,413,10787
323,413,10686
324,413,10585
325,413,10484
326,413,10383
327,413,10282
328,413,10181
329,413,10080
330,415,9979
331,415,9878
332,415,9777
333,415,9676
334,415,9575
335,415,9474
336,415,9373
337,416,9272
338,416,9171
339,421,9070
340,426,8969
341,426,8868
342,426,8767
343,426,8666
344,509,8666
345,509,8565
346,516,9984
347,516,9883
348,516,9782
349,516,9681
350,516,9580
351,516,9378
352,516,9277
353,516,9176
354,517,9075
355,517,8974
356,518,8873
357,518,8772
358,518,8671
359,518,8570
360,518,8469
361,518,8368
362,526,8267
363,526,8166
364,526,8065
365,530,9484
366,530,9383
367,530,9282
368,530,9080
369,530,8979
370,530,8878
371,530,8777
372,530,8676
373,531,8575
374,531,8474
375,531,8373
376,531,8272
377,537,8171
378,538,8070
379,538,7969
380,539,7868
381,543,7767
382,543,7666
383,543,7565
384,543,7464
385,543,7363
386,543,7262
387,544,7161
388,636,8782
389,638,8681
390,638,8580
391,638,8479
392,638,8378
393,638,8277
394,640,8176
395,643,8075
396,643,7974
397,643,7873
398,643,7772
399,643,7671
400,643,7570
401,643,7469
402,643,7368
403,660,7267
404,660,7166
405,660,7065
406,661,6964
407,695,6863
408,781,7979
409,781,7878
410,781,7777
411,782,7676
412,785,7575
413,785,7474
414,785,7373
415,785,7272
416,785,7171
417,785,7070
418,786,6969
