,Time,Cost
0,5,16171
1,5,16070
2,5,15969
3,5,15868
4,5,16883
5,5,16383
6,5,16282
7,5,16181
8,5,16080
9,11,16287
10,11,16186
11,11,16085
12,11,15984
13,11,15883
14,11,15787
15,11,15686
16,11,15585
17,11,15484
18,11,15287
19,11,15186
20,11,15085
21,11,14984
22,12,14883
23,12,14782
24,12,14681
25,12,14580
26,12,14479
27,13,14378
28,15,15292
29,15,15191
30,15,15090
31,15,14989
32,16,14888
33,16,14787
34,16,14686
35,16,14585
36,16,14484
37,17,14383
38,17,14282
39,17,14181
40,17,14080
41,18,13979
42,18,13878
43,20,15095
44,20,14994
45,20,14893
46,20,14792
47,20,14691
48,20,14590
49,20,14489
50,20,14388
51,20,14287
52,20,14186
53,20,14085
54,20,13984
55,21,13883
56,21,13782
57,21,13681
58,21,13580
59,21,13479
60,22,13378
61,26,14595
62,26,14494
63,26,14393
64,26,14292
65,26,14191
66,26,14090
67,26,13989
68,26,13888
69,26,13787
70,26,13686
71,26,13585
72,26,13484
73,29,14701
74,29,14600
75,29,14499
76,29,14398
77,29,14297
78,29,14196
79,29,14095
80,29,13994
81,29,13893
82,29,13792
83,29,13691
84,29,13590
85,29,13489
86,31,13388
87,31,13287
88,31,13186
89,31,13085
90,31,12984
91,31,12883
92,31,12782
93,31,12681
94,32,12580
95,32,12479
96,38,12378
97,38,12277
98,38,12176
99,38,12075
100,38,11974
101,52,11873
102,59,11772
103,60,11671
104,71,12484
105,71,12383
106,72,12282
107,73,12080
108,73,11979
109,73,11878
110,80,11777
111,80,11676
112,80,11575
113,85,12691
114,86,12590
115,86,12489
116,86,12388
117,86,12287
118,86,12186
119,86,12085
120,86,11984
121,86,11883
122,86,11782
123,87,11681
124,89,11580
125,98,11479
126,98,11378
127,98,11277
128,101,11176
129,101,11075
130,103,10974
131,103,10873
132,103,10772
133,103,10671
134,106,11787
135,106,11686
136,106,11585
137,107,11484
138,107,11383
139,107,11282
140,107,11181
141,107,11080
142,107,10979
143,108,10878
144,108,10777
145,110,10676
146,112,10575
147,112,10474
148,121,11792
149,121,11691
150,121,11590
151,121,11489
152,121,11388
153,121,11287
154,121,11186
155,122,11085
156,122,10984
157,122,10883
158,122,10782
159,122,10681
160,122,10580
161,122,10479
162,122,10378
163,122,10277
164,122,10176
165,147,10075
166,149,9974
167,150,9873
168,150,9772
169,150,9671
170,150,9570
171,150,9469
172,150,9368
173,154,10484
174,154,10383
175,154,10282
176,154,10181
177,155,10080
178,156,9979
179,156,9777
180,156,9676
181,156,9575
182,156,9474
183,156,9373
184,156,9272
185,156,9171
186,165,10186
187,170,9984
188,170,9883
189,170,9782
190,170,9681
191,170,9580
192,170,9479
193,170,9378
194,170,9277
195,172,9176
196,173,9075
197,173,8974
198,173,8873
199,174,10494
200,174,10393
201,174,10292
202,174,10191
203,174,10090
204,174,9989
205,174,9888
206,174,9787
207,176,9686
208,178,9282
209,178,9181
210,178,9080
211,183,8979
212,184,8878
213,184,8777
214,184,8676
215,184,8575
216,184,8474
217,184,8373
218,184,8272
219,184,8171
220,188,8070
221,191,7969
222,191,7868
223,191,7767
224,194,8580
225,194,8479
226,194,8378
227,194,8277
228,195,8176
229,195,8075
230,195,7974
231,195,7873
232,195,7772
233,195,7671
234,221,7570
235,221,7469
236,222,7368
237,222,7267
238,222,7166
239,227,8787
240,227,8686
241,227,8585
242,227,8484
243,227,8383
244,228,8282
245,229,8181
246,230,8080
247,230,7979
248,230,7878
249,230,7777
250,230,7676
251,230,7575
252,230,7474
253,230,7373
254,230,7272
255,230,7171
256,230,7070
257,236,6969
258,265,6868
259,265,6767
260,265,6666
261,265,6565
262,291,6464
263,292,6363
264,418,6363
