,Time,Cost
0,404,61008
1,404,60811
2,404,60715
3,404,60518
4,404,59917
5,404,59720
6,404,59220
7,404,58720
8,405,58422
9,405,57922
10,405,57523
11,554,56816
12,554,56215
13,554,55715
14,595,55518
15,609,56634
16,637,56134
17,637,55634
18,637,55134
19,637,54634
20,637,54033
21,637,53533
22,677,51922
23,677,51422
24,677,50821
25,712,50018
26,712,51033
27,713,50028
28,713,49528
29,747,48725
30,748,48124
31,748,48129
32,799,22624
33,833,21917
34,862,20604
35,862,20503
36,862,20402
37,862,20301
38,862,20200
39,862,20099
40,862,19998
41,862,19897
42,862,19796
43,862,19695
44,862,19594
