,Time,Cost
0,311,65937
1,311,65841
2,311,65341
3,311,64841
4,311,64644
5,311,64144
6,311,63644
7,311,63043
8,311,62543
9,312,62144
10,312,61644
11,312,61144
12,355,59331
13,355,59033
14,355,58533
15,355,58134
16,355,57735
17,438,57230
18,440,56326
19,470,57139
20,470,56639
21,470,56139
22,479,54225
23,479,54028
24,479,53831
25,479,54038
26,515,55053
27,531,52028
28,531,51831
29,573,51533
30,573,51033
31,573,50735
32,573,50235
33,573,49735
34,573,49336
35,573,48937
36,573,49144
37,573,48947
38,574,48447
39,574,47846
40,574,47851
41,578,45629
42,578,45528
43,605,22018
44,742,22018
45,779,21917
46,892,21917
47,892,21816
48,892,21715
49,892,21614
50,892,21513
51,892,21412
52,892,21311
53,1088,21311
