,Time,Cost
0,81,80124
1,81,79624
2,81,79124
3,81,78624
4,81,78124
5,81,77725
6,164,73023
7,196,72735
8,196,72437
9,196,72139
10,196,71639
11,196,71240
12,217,69932
13,299,69735
14,308,68831
15,308,68735
16,308,68336
17,476,67331
18,476,66831
19,483,68048
20,483,67548
21,483,67149
22,519,64326
23,586,64432
24,586,64134
25,614,65553
26,614,65053
27,614,64250
28,752,62740
29,752,62442
30,752,61841
31,762,60129
32,801,62356
33,896,59331
34,932,62568
35,1043,59341
36,1049,58437
37,1050,58038
38,1050,57639
39,1057,57442
40,1057,56942
41,1057,56543
42,1058,55942
43,1092,54230
44,1092,54538
45,1098,56361
46,1098,55861
47,1098,55361
48,1098,55063
49,1098,54563
50,1099,54063
51,1099,53664
52,1121,50538
53,1122,50038
54,1122,49538
55,1122,49139
56,1122,48639
57,1122,48038
58,1122,47639
59,1122,47240
60,1122,46740
61,1122,46139
62,1122,45639
63,1122,45139
64,1122,44639
65,1135,41917
66,1142,22321
67,1170,22220
68,1170,22119
69,1270,22018
70,1406,21513
71,1855,21412
