,Time,Cost
0,192,72437
1,283,68033
2,283,67634
3,283,67134
4,283,66634
5,283,66235
6,283,65836
7,283,65336
8,283,64836
9,283,64639
10,283,63937
11,283,63437
12,283,62937
13,330,59321
14,365,57033
15,365,56331
16,365,56033
17,365,55634
18,365,55134
19,365,54735
20,456,52614
21,456,52513
22,456,52412
23,480,56760
24,493,54947
25,494,54447
26,494,54048
27,494,53851
28,494,53452
29,494,53053
30,494,52250
31,494,51750
32,494,51250
33,494,50851
34,494,50351
35,712,49038
36,748,22624
37,755,22422
38,755,22321
39,755,22220
40,755,22119
41,755,22018
42,755,21917
43,755,21816
44,755,21715
45,755,21614
46,755,21513
47,755,21412
48,755,21311
49,755,21210
50,755,21109
51,755,21008
52,899,21008
53,900,20907
54,981,20907
55,998,20806
56,1016,20705
57,1032,20604
58,1207,20604
