,Time,Cost
0,31,54574
1,31,54074
2,42,53084
3,55,51776
4,73,52690
5,73,52190
6,73,51690
7,90,51190
8,96,49882
9,96,49483
10,96,49589
11,96,49291
12,112,52023
13,156,46675
14,156,46276
15,156,45877
16,156,45478
17,156,44978
18,156,44478
19,156,44180
20,156,43579
21,156,43079
22,156,42579
23,156,42281
24,156,42084
25,156,41685
26,161,40781
27,161,40281
28,164,40589
29,164,40488
30,164,40387
31,164,40286
32,164,40185
33,164,40084
34,164,39983
35,164,39882
36,164,39781
37,164,39680
38,166,40897
39,167,40498
40,178,39291
41,178,38791
42,178,38392
43,178,37392
44,178,36690
45,178,36392
46,178,35892
47,192,19190
48,217,17978
49,217,17877
50,217,17776
51,217,17675
52,217,17574
53,217,17473
54,217,17372
55,217,17271
56,265,17170
57,265,17069
58,265,16968
59,294,16867
60,296,16766
61,296,16665
62,325,16564
63,516,16564
