,Time,Cost
0,64,57685
1,65,57387
2,65,56887
3,65,56589
4,69,55382
5,72,58619
6,72,58119
7,78,56301
8,78,56200
9,78,56099
10,78,55998
11,98,58023
12,107,55301
13,107,54801
14,107,54806
15,107,54306
16,107,53705
17,107,53306
18,107,52907
19,115,51594
20,115,51493
21,115,51392
22,115,51291
23,118,53316
24,139,50493
25,139,50094
26,148,50301
27,148,49700
28,148,49301
29,155,18887
30,174,18584
31,174,18483
32,174,18382
33,174,18281
34,174,18180
35,174,18079
36,174,17978
37,219,17877
38,225,17776
39,225,17675
40,229,17574
41,229,17473
42,229,17372
43,229,17271
44,229,17170
45,235,16362
